Station,Error Reason
02392780.csv,Not enough valid data for 00681 (only 0 points)
02392780.csv,Not enough valid data for 00915 (only 0 points)
02392780.csv,Not enough valid data for 00925 (only 0 points)
02392780.csv,Not enough valid data for 00930 (only 0 points)
02392780.csv,Not enough valid data for 00935 (only 0 points)
02392780.csv,Not enough valid data for 00940 (only 0 points)
02392780.csv,Not enough valid data for 00945 (only 0 points)
02392780.csv,Not enough valid data for 00955 (only 0 points)
02392780.csv,Not enough valid data for 71846 (only 0 points)
02392780.csv,Not enough valid data for 80154 (only 0 points)
02413210.csv,Not enough valid data for 00618 (only 0 points)
02413210.csv,Not enough valid data for 00681 (only 0 points)
02413210.csv,Not enough valid data for 00915 (only 0 points)
02413210.csv,Not enough valid data for 00925 (only 0 points)
02413210.csv,Not enough valid data for 00930 (only 0 points)
02413210.csv,Not enough valid data for 00935 (only 0 points)
02413210.csv,Not enough valid data for 00940 (only 0 points)
02413210.csv,Not enough valid data for 00945 (only 0 points)
02413210.csv,Not enough valid data for 00955 (only 0 points)
02413210.csv,Not enough valid data for 71846 (only 0 points)
02413210.csv,Not enough valid data for 80154 (only 0 points)
03056250.csv,Not enough valid data for 00300 (only 0 points)
03056250.csv,Not enough valid data for 00405 (only 0 points)
03056250.csv,Not enough valid data for 00600 (only 0 points)
03056250.csv,Not enough valid data for 00605 (only 0 points)
03056250.csv,Not enough valid data for 00618 (only 0 points)
03056250.csv,Not enough valid data for 00660 (only 0 points)
03056250.csv,Not enough valid data for 00665 (only 0 points)
03056250.csv,Not enough valid data for 00681 (only 0 points)
03056250.csv,Not enough valid data for 00915 (only 0 points)
03056250.csv,Not enough valid data for 00925 (only 0 points)
03056250.csv,Not enough valid data for 00930 (only 0 points)
03056250.csv,Not enough valid data for 00935 (only 0 points)
03056250.csv,Not enough valid data for 00940 (only 0 points)
03056250.csv,Not enough valid data for 00945 (only 0 points)
03056250.csv,Not enough valid data for 00955 (only 0 points)
03056250.csv,Not enough valid data for 71846 (only 0 points)
03056250.csv,Not enough valid data for 80154 (only 0 points)
03058000.csv,Not enough valid data for 00405 (only 0 points)
03058000.csv,Not enough valid data for 00600 (only 0 points)
03058000.csv,Not enough valid data for 00605 (only 0 points)
03058000.csv,Not enough valid data for 00618 (only 0 points)
03058000.csv,Not enough valid data for 00660 (only 0 points)
03058000.csv,Not enough valid data for 00665 (only 0 points)
03058000.csv,Not enough valid data for 00681 (only 0 points)
03058000.csv,Not enough valid data for 00915 (only 0 points)
03058000.csv,Not enough valid data for 00925 (only 0 points)
03058000.csv,Not enough valid data for 00930 (only 0 points)
03058000.csv,Not enough valid data for 00935 (only 0 points)
03058000.csv,Not enough valid data for 00940 (only 0 points)
03058000.csv,Not enough valid data for 00945 (only 0 points)
03058000.csv,Not enough valid data for 00955 (only 0 points)
03058000.csv,Not enough valid data for 71846 (only 0 points)
03058000.csv,Not enough valid data for 80154 (only 0 points)
03230450.csv,Not enough valid data for 00405 (only 0 points)
03230450.csv,Not enough valid data for 00681 (only 0 points)
03230450.csv,Not enough valid data for 00915 (only 0 points)
03230450.csv,Not enough valid data for 00925 (only 0 points)
03230450.csv,Not enough valid data for 00930 (only 0 points)
03230450.csv,Not enough valid data for 00935 (only 0 points)
03230500.csv,Not enough valid data for 00405 (only 0 points)
03230500.csv,Not enough valid data for 00600 (only 0 points)
03230500.csv,Not enough valid data for 00605 (only 0 points)
03230500.csv,Not enough valid data for 00681 (only 0 points)
03230500.csv,Not enough valid data for 00915 (only 0 points)
03230500.csv,Not enough valid data for 00925 (only 0 points)
03230500.csv,Not enough valid data for 00930 (only 0 points)
03230500.csv,Not enough valid data for 00935 (only 0 points)
03230500.csv,Not enough valid data for 00940 (only 1 points)
03230500.csv,Not enough valid data for 00945 (only 1 points)
03230500.csv,Not enough valid data for 00955 (only 0 points)
03339000.csv,Not enough valid data for 00618 (only 0 points)
03339000.csv,Not enough valid data for 00681 (only 0 points)
03339000.csv,Not enough valid data for 00955 (only 0 points)
03339000.csv,Not enough valid data for 71846 (only 0 points)
03376350.csv,Not enough valid data for 00600 (only 0 points)
03376350.csv,Not enough valid data for 00605 (only 0 points)
03376350.csv,Not enough valid data for 00618 (only 0 points)
03376350.csv,Not enough valid data for 00660 (only 0 points)
03376350.csv,Not enough valid data for 00665 (only 0 points)
03376350.csv,Not enough valid data for 00681 (only 0 points)
03376350.csv,Not enough valid data for 00915 (only 0 points)
03376350.csv,Not enough valid data for 00925 (only 0 points)
03376350.csv,Not enough valid data for 00930 (only 0 points)
03376350.csv,Not enough valid data for 00935 (only 0 points)
03376350.csv,Not enough valid data for 00940 (only 0 points)
03376350.csv,Not enough valid data for 00955 (only 0 points)
03376350.csv,Not enough valid data for 71846 (only 0 points)
04073462.csv,Not enough valid data for 00405 (only 0 points)
