staid,00010_kge,00010_r2,00010_pbias,00095_kge,00095_r2,00095_pbias,00300_kge,00300_r2,00300_pbias,00400_kge,00400_r2,00400_pbias,00405_kge,00405_r2,00405_pbias,00600_kge,00600_r2,00600_pbias,00605_kge,00605_r2,00605_pbias,00618_kge,00618_r2,00618_pbias,00660_kge,00660_r2,00660_pbias,00665_kge,00665_r2,00665_pbias,00681_kge,00681_r2,00681_pbias,00915_kge,00915_r2,00915_pbias,00925_kge,00925_r2,00925_pbias,00930_kge,00930_r2,00930_pbias,00935_kge,00935_r2,00935_pbias,00940_kge,00940_r2,00940_pbias,00945_kge,00945_r2,00945_pbias,00955_kge,00955_r2,00955_pbias,71846_kge,71846_r2,71846_pbias,80154_kge,80154_r2,80154_pbias
01646305,,,,,,,,,,,,,,,,0.0937418,0.026,0.956,0.6923316,0.568,1.573,,,,0.5837383,0.519,0.348,0.6232086,0.595,5.897,,,,,,,,,,,,,,,,,,,,,,,,,0.14446019,0.071,12.085,0.66220784,0.509,7.962
01649190,0.8901717,0.827,0.265,0.3111571,0.242,0.256,0.7634035,0.636,0.406,-3.513438,0.095,0.654,,,,0.6302725,0.427,3.609,,,,0.59319484,0.568,0.699,,,,0.7619469,0.631,7.708,,,,,,,,,,,,,,,,,,,,,,,,,0.36072955,0.244,17.202,0.52673495,0.445,0.177
01649500,0.90758693,0.847,3.579,0.35769626,0.319,6.628,0.58357024,0.415,0.1,-0.65840024,0.049,1.367,,,,0.43458262,0.319,1.38,,,,0.38115737,0.45,5.008,,,,0.45665523,0.372,6.803,,,,,,,,,,,,,,,,,,,,,,,,,0.226386,0.16,29.629,0.6972122,0.63,18.29
01654000,0.8444052,0.736,5.175,0.5139643,0.394,7.878,0.4352152,0.306,2.506,-2.4837923,0.051,3.598,,,,0.57665795,0.378,2.424,,,,,,,0.5122954,0.563,5.025,0.45089003,0.381,0.416,,,,,,,,,,,,,,,,,,,,,,,,,0.19945194,0.157,8.405,,,
01656903,,,,,,,,,,,,,,,,0.41261458,0.216,1.871,0.66147614,0.502,5.434,,,,0.30356178,0.231,6.978,0.5631184,0.43,6.187,,,,,,,,,,,,,,,,,,,,,,,,,-0.045505468,0.042,2.951,0.6345379,0.573,24.259
01658000,0.81054825,0.672,0.239,0.37076825,0.148,3.312,0.74392265,0.66,1.089,-0.91309446,0.073,0.142,,,,,,,0.115364075,0.168,23.033,0.39275652,0.251,9.371,0.69954765,0.575,0.684,0.06213511,0.157,25.3,,,,,,,,,,,,,,,,,,,,,,,,,0.20840468,0.192,7.636,-0.24863702,0.008,38.086
01658500,0.83511984,0.769,0.094,-0.12534906,0.01,2.432,0.48837397,0.288,2.307,-1.607216,0.008,0.148,,,,0.74424183,0.577,1.302,,,,,,,0.2880106,0.173,1.837,0.7423775,0.554,1.047,,,,,,,,,,,,,,,,,,,,,,,,,0.50400364,0.346,5.535,0.31113762,0.318,8.537
01659000,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.41974446,0.337,1.256
01667500,0.885477,0.865,3.539,0.47509038,0.41,2.034,0.8600866,0.753,2.362,-0.16851653,0.023,1.012,,,,0.48259953,0.679,5.867,,,,,,,0.2538109,0.404,13.314,0.41303566,0.631,15.536,,,,,,,,,,,,,,,,,,,,,,,,,0.4716307,0.723,6.869,0.35168004,0.638,23.914
01668000,0.92036474,0.876,3.031,0.30339903,0.344,1.992,0.8785078,0.776,2.318,-0.008901601,0.002,0.266,,,,0.68479097,0.663,0.315,0.49939382,0.441,7.191,0.69512767,0.592,4.068,0.37251312,0.366,1.902,0.5503881,0.645,3.886,0.5509038,0.671,9.242,,,,,,,,,,,,,,,,,,,0.3814192,0.337,2.289,0.40447947,0.397,3.057,0.46255094,0.65,19.359
