staid,00010_kge,00010_r2,00010_pbias,00095_kge,00095_r2,00095_pbias,00300_kge,00300_r2,00300_pbias,00400_kge,00400_r2,00400_pbias,00405_kge,00405_r2,00405_pbias,00600_kge,00600_r2,00600_pbias,00605_kge,00605_r2,00605_pbias,00618_kge,00618_r2,00618_pbias,00660_kge,00660_r2,00660_pbias,00665_kge,00665_r2,00665_pbias,00681_kge,00681_r2,00681_pbias,00915_kge,00915_r2,00915_pbias,00925_kge,00925_r2,00925_pbias,00930_kge,00930_r2,00930_pbias,00935_kge,00935_r2,00935_pbias,00940_kge,00940_r2,00940_pbias,00945_kge,00945_r2,00945_pbias,00955_kge,00955_r2,00955_pbias,71846_kge,71846_r2,71846_pbias,80154_kge,80154_r2,80154_pbias
01591000,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
01594000,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
01594440,0.6307223,0.792,34.89,0.059623122,0.151,68.896,0.53831446,0.436,31.122,-3.1270955,0.03,37.082,,,,-0.15762134,0.001,59.011,,,,-0.7809812,0.015,137.564,0.26573277,0.212,40.472,0.46254137,0.47,43.575,0.55551314,0.412,23.31,,,,,,,,,,,,,,,,,,,0.0039889305,0.026,52.454,-0.29445195,0.0,35.811,-0.15559341,0.418,110.019
01594526,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
01604500,0.61260694,0.81,37.403,0.21860972,0.292,60.602,0.4087498,0.464,44.659,-3.809399,0.009,44.935,,,,,,,0.2774436,0.311,24.89,0.727239,0.768,24.309,-0.11957956,0.165,75.365,0.17060195,0.266,43.409,,,,,,,,,,,,,,,,,,,,,,,,,-0.19678283,0.021,57.595,-0.44588014,0.099,107.092
01608500,0.5656749,0.784,41.696,0.14045967,0.155,58.968,0.40565434,0.408,45.509,-2.4305332,0.211,35.623,,,,-15.017887,0.442,1549.076,0.06572886,0.139,38.533,0.45928773,0.592,40.627,-3.937995,0.042,479.799,-0.8347466,0.013,160.101,,,,,,,,,,,,,,,,,,,,,,,,,0.13012278,0.022,4.532,-1.2538048,0.036,200.624
01611500,0.6886126,0.814,29.556,0.060174555,0.139,67.526,0.41398722,0.451,41.249,-2.1143363,0.07,38.834,,,,-43.977974,0.288,3358.131,0.12655085,0.236,54.955,0.6557998,0.531,7.233,-0.01974082,0.178,50.459,-0.25305995,0.186,99.974,,,,,,,,,,,,,,,,,,,,,,,,,0.02842526,0.034,22.154,-1.195044,0.016,196.491
01614500,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
01616500,0.7275535,0.768,24.265,-0.12799667,0.004,59.701,0.28033063,0.221,45.326,-5.8367047,0.103,32.901,,,,,,,-0.25974572,0.144,106.086,-0.21950693,0.01,49.592,-2.4764743,0.185,332.5,0.20915914,0.21,57.072,,,,,,,,,,,,,,,,,,,,,,,,,0.24347027,0.105,27.68,-1.4297866,0.045,224.554
01621050,0.027123569,0.531,69.821,-1.1429062,0.252,58.932,-1.7111506,0.084,152.652,-10.956347,0.263,49.605,,,,-0.7441974,0.01,87.27,,,,,,,-0.45537627,0.174,122.242,-0.92394537,0.152,175.721,,,,,,,,,,,,,,,,,,,,,,,,,-1.2054192,0.002,193.486,-0.99315,0.004,174.643
